Voorschoten	  403,04	 2 874	  382,24	 2 853	  392,640
Voorst	  72,02	 2 619	  32,98	 2 661	  52,500
Vught	  42,22	 2 938	  86,33	 2 980	  64,275
Waadhoeke	 1 608,16	 4 486	 1 718,90	 4 419	 1 663,530
Waalre	  0,00	 1 683	  0,00	 1 721	  0,000
Waalwijk	 2 511,66	 4 539	 2 524,46	 4 473	 2 518,060
Waddinxveen	 1 079,51	 2 593	  956,88	 2 687	 1 018,195
Wageningen	  939,29	 2 891	 1 086,50	 2 900	 1 012,895
Wassenaar	  351,65	 2 361	  446,74	 2 368	  399,195
Waterland	  0,00	 1 742	  0,00	 1 735	  0,000
Weert	 2 809,34	 4 338	 2 933,17	 4 346	 2 871,255
Weesp	  541,38	 1 639	  683,99	 1 868	  612,685
West Betuwe	 1 405,05	 5 437	 1 426,77	 5 330	 1 415,910
West Maas en Waal	  356,38	 1 644	  478,58	 1 641	  417,480
Westerkwartier	  943,78	 6 677	  946,31	 6 602	  945,045
Westerveld	  59,62	 1 455	  65,10	 1 429	  62,360
Westervoort	  683,45	 1 400	  735,27	 1 380	  709,360
Westerwolde	 1 728,12	 2 173	 1 686,22	 2 176	 1 707,170
Westland	 3 125,16	 11 307	 3 367,85	 11 490	 3 246,505
Weststellingwerf	  903,62	 2 375	  818,65	 2 328	  861,135
Westvoorne	  139,77	 1 112	  250,35	 1 135	  195,060
Wierden	  25,80	 2 667	  33,60	 2 628	  29,700
Wijchen	  789,64	 3 854	  654,51	 3 705	  722,075
Wijdemeren	  77,28	 2 263	  125,61	 2 262	  101,445
Wijk bij Duurstede	  569,87	 2 380	  651,00	 2 360	  610,435
Winterswijk	 1 551,57	 2 669	 1 487,41	 2 535	 1 519,490
Woensdrecht	  755,00	 1 734	  786,73	 1 720	  770,865
Woerden	  850,91	 5 776	  905,16	 5 792	  878,035
Wormerland	  590,74	 1 352	  597,86	 1 382	  594,300
Woudenberg	  298,87	 1 541	  358,89	 1 542	  328,880
Zaanstad	 14 143,44	 15 583	 14 589,07	 15 434	 14 366,255
Zaltbommel	 1 059,07	 3 200	 1 038,29	 3 135	 1 048,680
Zandvoort	  362,82	 1 248	  427,41	 1 247	  395,115
Zeewolde	  787,20	 2 490	  629,38	 2 322	  708,290
Zeist	 2 679,92	 6 548	 2 333,69	 6 618	 2 506,805
Zevenaar	 1 774,98	 4 011	 1 899,54	 3 882	 1 837,260
Zoetermeer	 8 933,64	 13 267	 8 571,15	 13 176	 8 752,395
Zoeterwoude	  90,55	  731	  133,06	  707	  111,805
Zuidplas	  989,56	 4 704	 1 044,07	 4 787	 1 016,815
Zundert	  373,96	 1 587	  402,49	 1 590	  388,225
Zutphen	 2 244,31	 4 724	 2 413,38	 4 639	 2 328,845
Zwartewaterland	  776,26	 2 959	  797,71	 2 880	  786,985
Zwijndrecht	 3 379,85	 4 602	 3 606,49	 4 417	 3 493,170
Zwolle	 3 335,68	 14 105	 3 686,13	 13 911	 3 510,905
					
Bron: CBS					
